time,obs_hanzhong,pred_hanzhong,err_hanzhong,obs_yangxian,pred_yangxian,err_yangxian,obs_youshui,pred_youshui,err_youshui,obs_lianghekou,pred_lianghekou,err_lianghekou,obs_shiquan,pred_shiquan,err_shiquan
2015-04-16,8.826425,10.056278,1.2298536,20.06156,18.87433,-1.1872292,2.1929498,1.951813,-0.24113679,8.551317,6.4680467,-2.0832705,65.62231,71.46633,5.8440247
2015-04-17,16.486242,13.078765,-3.4074774,22.74992,16.066008,-6.6839123,2.1120708,1.7268536,-0.3852172,6.7164197,5.586687,-1.1297326,53.54928,60.011917,6.462639
2015-04-18,64.85266,28.429605,-36.423058,45.04433,27.06342,-17.980911,4.372695,4.6348314,0.26213646,11.579131,10.370422,-1.2087088,79.674904,101.01673,21.341827
2015-04-19,149.19511,42.750862,-106.44425,149.21353,56.34478,-92.86875,9.504788,8.212302,-1.2924862,20.95832,15.752848,-5.205473,227.37833,227.01859,-0.3597412
2015-04-20,99.24894,32.90945,-66.33949,212.97343,60.822308,-152.15112,3.3056593,6.0812674,2.775608,7.6367435,11.424022,3.7872782,270.95395,229.33003,-41.623917
2015-04-21,57.902744,22.058596,-35.844147,120.08729,46.014263,-74.07303,3.282504,3.7920375,0.5095334,7.485488,8.268717,0.7832289,207.63806,162.26273,-45.375336
2015-04-22,41.754955,15.972433,-25.782522,79.09459,33.31865,-45.77594,2.5601661,2.7352383,0.1750722,11.3463125,6.351985,-4.9943275,132.71797,114.33533,-18.382645
2015-04-23,26.74323,12.547511,-14.19572,55.22598,25.382397,-29.843582,2.227275,2.193871,-0.033403873,6.730648,5.1580276,-1.5726204,99.08845,83.822296,-15.266151
2015-04-24,17.711912,10.410114,-7.301798,37.73315,20.311615,-17.421535,1.9979563,1.8749597,-0.12299657,5.5231795,4.396275,-1.1269045,72.55975,64.92908,-7.6306763
2015-04-25,15.67555,8.967917,-6.707633,32.42353,25.041943,-7.381588,1.9382758,1.7053473,-0.23292851,5.157482,3.9497442,-1.2077379,60.038746,57.397865,-2.6408806
2015-04-26,23.62523,7.875641,-15.74959,38.215916,30.38069,-7.835226,1.9380488,1.5448363,-0.39321256,8.994183,5.945593,-3.0485897,67.27865,52.185276,-15.093372
2015-04-27,14.525807,6.8801336,-7.6456738,40.877407,26.272923,-14.604485,1.6549828,1.3934605,-0.2615223,23.039583,6.677237,-16.362347,86.205376,45.322002,-40.883373
2015-04-28,8.85214,6.05157,-2.8005705,26.234936,21.145247,-5.0896893,1.2886825,1.2521513,-0.03653121,9.789402,5.13394,-4.655462,61.113594,38.765015,-22.34858
2015-04-29,6.923763,5.3879943,-1.5357685,19.030619,17.201883,-1.8287354,1.0580854,1.1336277,0.07554221,7.4093685,4.020891,-3.3884773,40.300312,33.429245,-6.871067
2015-04-30,13.927054,20.07591,6.148856,34.36626,38.893486,4.5272255,4.413565,3.8511581,-0.562407,25.225393,16.108559,-9.116835,98.23122,100.5804,2.3491821
2015-05-01,66.77253,130.4553,63.682777,160.48343,209.87177,49.388336,11.170574,14.069789,2.8992147,84.05117,93.02677,8.975601,409.55286,589.6286,180.07574
2015-05-02,93.88392,191.90788,98.023964,343.34558,373.48987,30.144287,12.72009,18.231497,5.511407,122.4764,131.35574,8.879341,702.4682,1078.4358,375.9676
2015-05-03,65.65643,133.42209,67.765656,260.46912,272.3954,11.92627,6.9917264,12.49361,5.501884,74.08675,70.5125,-3.5742493,646.5179,829.86505,183.34717
2015-05-04,50.767155,77.12914,26.361988,146.11383,152.28413,6.1703033,6.0059342,7.2681913,1.2622571,34.685764,33.11286,-1.5729027,426.75674,491.43936,64.68262
2015-05-05,32.759846,46.84441,14.084564,99.37416,85.32192,-14.052238,4.2407637,4.9207406,0.67997694,20.452858,18.972553,-1.4803047,278.3806,284.96967,6.5890503
2015-05-06,21.479391,30.257685,8.778294,62.83134,55.790043,-7.041298,3.6881094,3.7267275,0.038618088,14.516083,12.987303,-1.52878,183.93433,195.81012,11.875793
2015-05-07,25.73222,38.031754,12.299534,46.782394,42.612774,-4.1696205,2.9783156,3.0603552,0.082039595,17.002996,16.219885,-0.7831116,147.98564,193.68777,45.702133
2015-05-08,78.58429,75.931656,-2.6526337,94.622955,39.34509,-55.277866,2.7416642,2.6574726,-0.08419156,33.094097,26.266285,-6.827812,278.9682,337.4196,58.451385
2015-05-09,63.38144,70.77243,7.390991,141.94617,33.087822,-108.858345,2.2499657,2.2997096,0.04974389,31.136528,30.672934,-0.46359444,361.39697,572.8097,211.41272
2015-05-10,46.89643,90.01779,43.12136,86.14419,38.48687,-47.65732,2.8485055,2.9814265,0.13292098,32.924088,46.79814,13.874054,295.136,735.4673,440.3313
2015-05-11,117.612144,147.06355,29.451408,102.465416,46.700897,-55.76452,3.207425,2.809651,-0.39777422,50.47596,73.29031,22.814354,340.44028,859.5865,519.14624
2015-05-12,85.86229,102.61817,16.755882,158.63672,41.158043,-117.478676,1.8934884,2.345479,0.4519906,39.256905,52.40543,13.148525,328.32678,601.4162,273.08942
2015-05-13,37.586357,56.643276,19.05692,96.14728,31.738697,-64.408585,1.5242541,1.9406714,0.41641736,23.226824,30.12618,6.899357,241.35767,350.53036,109.1727
2015-05-14,22.596306,41.818825,19.222519,47.5782,37.301945,-10.276257,3.7300115,4.163361,0.4333496,26.79566,33.7908,6.995138,154.63307,249.87834,95.24527
2015-05-15,27.650173,33.087856,5.437683,48.64223,48.929577,0.2873459,7.188752,5.628724,-1.5600281,52.70599,47.249752,-5.456238,196.029,203.51904,7.490036
2015-05-16,18.662523,26.74665,8.084127,46.016502,52.549095,6.532593,2.9473224,4.9132767,1.9659543,43.213455,52.62831,9.414856,170.0624,213.94585,43.883453
